onset	duration	response_time	trial_type
5.01e-06	4.538539168000001	3.784305811	dominance
7.54144311	4.49845409	2.072212934	agitation
12.04148221	4.501190899999999	2.835535049	enthusiasm
16.54433203	4.500241039999999	2.366755009	n/a
22.54741621	4.49716282	2.700453997	irritation
30.04668403	4.4975700299999986	2.6647861	misery
36.0463872	4.497296810000002	1.435195923	surprise
45.04657221	4.496572020000002	2.073040962	n/a
49.54477906	4.496469979999993	2.317575932	mortification
60.04413414	4.499814990000004	3.443954945	n/a
66.04578519	4.498445989999993	3.578858137	n/a
70.54589105	4.501325130000012	1.906450987	n/a
75.04879403	4.483982089999998	2.574272156	embarrassment
79.53436422	4.499023919999999	3.342839003	warmth
85.53623199	4.502394199999998	2.189353943	n/a
91.54051423	4.513512849999998	2.533751011	derangement
100.5564642	4.467445800000007	n/a	feeling
105.0255702	4.516140899999996	1.512006998	n/a
111.0445781	4.4920060000000035	2.200277805	feeling
118.539314	4.506725099999997	3.326434851	mortification
126.0489061	4.484718999999998	1.529796839	n/a
130.5352962	4.515507899999989	1.332061052	enjoyment
136.553678	4.513823099999996	1.532278061	enjoyment
141.0691712	4.463007900000008	1.762517929	impatience
150.0340152	4.509243900000001	2.76157999	relief
157.5461371	4.498857999999984	2.902092934	relief
162.046561	4.499444000000011	3.062263012	n/a
166.5476651	4.484981099999999	4.023360014	interest
171.034178	4.495381100000003	1.644469976	sleepiness
178.5324192	4.512523900000019	3.147512913	decision
186.0454481	4.510998900000004	3.304394007	n/a
190.5581071	4.469516099999993	2.981460094	n/a
196.5304482	4.497259900000017	n/a	dominance
202.530349	4.530856099999994	1.93150115	n/a
208.563673	4.46747400000001	2.109467983	misery
214.5331621	4.508240000000001	2.470808983	n/a
222.0442562	4.513028899999995	2.205549955	n/a
226.5589471	4.498229999999978	2.310155869	irritation
231.0588531	4.480798100000015	2.405236006	disgust
235.5413342	4.498489800000016	1.903841972	excitement
240.041383	4.496896100000015	3.482038021	n/a
244.5399611	4.498657900000012	3.788854837	delight
252.0402622	4.4941490000000215	n/a	nervousness
256.536067	4.50107220000001	1.941569805	n/a
264.0389271	4.499571099999969	n/a	bewilderment
270.041388	4.4947341000000165	1.743187904	decision
279.038959	4.507948200000044	2.098057032	n/a
288.0487821	4.500682100000006	3.35462904	pain
294.052279	4.497455100000025	3.397620201	nervousness
301.5525932	4.479424999999992	n/a	n/a
307.533777	4.498338200000035	n/a	n/a
313.5348811	4.495101900000009	n/a	contempt
322.53286	4.498125099999982	n/a	contempt
327.0326631	4.497276999999997	n/a	warmth
333.0325451	4.49762800000002	n/a	n/a
339.0318751	4.505899900000031	1.908398151	melancholy
343.5394881	4.49946209999996	2.69641304	excitement
349.540343	4.501707099999976	2.935896873	fatigue
354.0437081	4.499135000000024	3.292652845	sadness
360.0457082	4.4979150000000345	2.64163208	n/a
364.5453022	4.495950900000025	2.502717018	derangement
370.5434442	4.482358900000008	n/a	n/a
378.0288432	4.508811900000012	3.764695883	hypnosis
385.5405331	4.482916999999986	n/a	sleepiness
391.5263531	4.496489999999994	n/a	self-consciousness
397.5254211	4.521756899999957	2.179059982	surprise
403.550019	4.4826130999999805	n/a	concern
408.035032	4.499342000000013	2.456304073	interest
414.03723	4.499942099999998	4.122693062	n/a
420.0400262	4.5135278999999855	2.234763145	n/a
426.0558772	4.479626900000028	2.468357086	n/a
433.5372322	4.50968690000002	1.995357037	n/a
438.0491281	4.483040999999957	n/a	hypnosis
445.5350132	4.498416899999995	2.839951038	impatience
450.0351071	4.500618999999972	3.352678061	n/a
454.5373061	4.5112640999999485	2.109979153	self-consciousness
459.0502632	4.490322800000001	1.786772013	n/a
463.5422411	4.499336999999969	1.669173002	agitation
469.5440962	4.504933899999969	3.079668045	melancholy
477.0517972	4.513198799999998	2.433223963	n/a
483.0674882	4.46314000000001	1.575802088	delight
489.033349	4.501893100000018	2.859572887	fatigue
493.5368481	4.4919080000000235	2.270312071	n/a
499.5316062	4.524472000000003	3.236124039	embarrassment
507.0588961	4.483822999999973	2.066385031	enthusiasm
511.5444031	4.482051099999978	n/a	sadness
519.02827	4.513913199999934	1.801451921	bewilderment
525.0446792	4.487007800000015	1.958653927	concern
529.5333641	4.508684099999982	2.68876195	disgust
535.5449052	4.5094258999999965	1.86728406	pain
