onset	duration	response_time	trial_type
4.05e-06	4.558840993	2.648063183	self-consciousness
4.560496092	4.480963945	1.698523045	alarm
9.043162107	4.497948882999999	1.877774	playfulness
16.54399109	4.488816020000002	2.410214901	impatience
22.53562212	4.502685070000002	2.300303221	n/a
27.03998709	4.49782896	2.08404398	n/a
31.53949714	4.497494929999995	1.88944006	anxiety
39.03963208	4.498433120000001	2.244611979	n/a
45.04091406	4.504060979999998	1.931563854	woe
49.54656506	4.490504980000004	2.687350035	relaxation
54.03862405	4.492470019999999	1.401518106	n/a
61.533494	4.516067020000001	1.504114151	appreciation
67.55185699	4.486654999999999	2.10126996	impatience
72.04017615	4.515683890000005	2.165758133	n/a
78.05853701	4.476521970000007	1.53274703	self-pity
85.53794599	4.507911200000009	2.613078117	n/a
91.54875207	4.482819079999999	2.577812195	n/a
100.533659	4.502391099999997	2.92270112	n/a
105.0377212	4.493598900000009	2.087435961	enthusiasm
111.0342181	4.506946099999993	2.010838985	warmth
115.5428112	4.487068800000003	1.434671164	confusion
126.0325742	4.514025900000007	2.139247894	woe
130.5482681	4.496886899999993	2.647466898	irritation
136.547893	4.496664100000004	1.931565046	n/a
145.5474432	4.492072799999988	2.057650089	fury
153.0413001	4.501446899999991	3.264835119	n/a
159.0447011	4.484276100000017	1.960544109	alarm
163.530643	4.499361999999991	1.691925049	n/a
169.5328991	4.509268099999986	2.129164934	irritation
174.0437541	4.497363100000001	3.187949181	annoyance
180.0429711	4.497148100000004	2.471179008	humor
184.5417871	4.498257899999999	2.960357904	delight
190.5428731	4.511091999999991	2.237888098	enthusiasm
195.0546081	4.484025000000003	1.494168997	n/a
201.0415192	4.513126799999981	1.819378138	exasperation
205.5563221	4.483166000000011	1.172240019	self-pity
210.041151	4.497884099999993	2.609781981	warmth
214.5406401	4.497757000000007	1.186288834	n/a
220.541115	4.4962639999999965	2.508833885	n/a
225.039063	4.510583099999991	2.610025167	n/a
231.0524931	4.500072000000017	2.234593868	frenzy
237.054585	4.497359999999986	2.916451931	jealousy
241.5535941	4.485787899999991	2.434980869	n/a
246.0409801	4.492501999999973	1.858474016	frenzy
253.536365	4.497787000000017	2.418007851	jealousy
259.5370312	4.509406800000022	2.661570072	annoyance
268.5493321	4.499712999999986	2.248861074	agitation
274.551909	4.513086099999953	2.76649785	n/a
280.567745	4.468610000000012	1.541107893	n/a
288.0392451	4.51687290000001	1.966380119	n/a
295.5589941	4.482619	3.185386896	pity
301.5434332	4.500530900000001	2.39109993	self-consciousness
307.546653	4.4985340000000065	1.924092054	fury
313.5470881	4.486528000000021	2.46226716	playfulness
321.0365071	4.508153900000025	3.310276031	n/a
325.5463202	4.491679899999951	2.317315817	n/a
330.03968	4.500657100000012	2.679739952	n/a
334.5420082	4.499282800000003	1.527890921	n/a
340.543982	4.498388999999975	2.45340991	n/a
348.0448461	4.495985000000019	1.647813082	n/a
354.0436862	4.497483899999963	1.793182135	n/a
358.542686	4.497439100000008	2.95404911	exasperation
367.543479	4.506572000000006	1.473120928	sleepiness
376.5529752	4.501616000000013	3.552187204	sadness
384.0575321	4.479633100000001	3.4881742	delight
390.0400631	4.497959900000012	3.27829504	regret
397.5406411	4.507033100000001	1.987136126	hypnosis
403.55059	4.50148919999998	2.117391109	humor
409.5549011	4.513757999999996	1.927635908	wakefulness
414.070323	4.4645071000000485	3.291663885	wakefulness
418.5365431	4.50570799999997	1.349520922	trance
426.045141	4.499700099999984	3.48605299	n/a
430.546519	4.499912999999992	2.916624069	agitation
436.5482712	4.499710800000003	2.888016939	relaxation
442.5503061	4.49829699999998	2.597444057	nervousness
447.0502782	4.497057900000016	2.777708054	nervousness
453.0500522	4.482106900000019	2.292139053	hypnosis
457.5338161	4.504193999999984	1.903606176	n/a
462.039592	4.501505199999997	1.531316042	sadness
468.043941	4.4989011999999775	2.433640957	sleepiness
475.5457571	4.499702899999988	2.457502127	confusion
483.048327	4.49605820000005	2.503781796	appreciation
489.0472751	4.489330999999993	2.288906097	concern
493.5382781	4.50483109999999	1.923733234	n/a
501.0452311	4.4959499999999935	2.078825951	concern
508.5431042	4.498719899999969	2.138454914	regret
513.043488	4.497785099999987	1.903266907	trance
519.0439301	4.4965499999999565	1.850806952	pity
528.0430861	4.496884099999988	3.42898798	anxiety
535.5417511	4.495252899999969	2.469136953	n/a
