onset	duration	response_time	trial_type
3.81e-06	4.534183984	1.973498821	n/a
4.535718918	4.498463869000001	2.226688862	fatigue
10.536304	4.505432840000001	2.229715109	n/a
16.54414797	4.50126195	1.914744139	panic
22.54801583	4.49870301	2.013998032	pain
28.548208	4.483802790000002	1.592915058	affection
37.53435993	4.513455870000001	2.648509979	fatigue
45.05021787	4.496721030000003	2.302981138	n/a
49.54860401	4.479971890000002	1.993159056	enthusiasm
58.53130078	4.53015113	1.901510954	n/a
66.06399989	4.4968769599999945	1.567032099	n/a
70.56254983	4.471428160000002	2.225351095	surprise
76.53620887	4.500881910000004	2.078820944	pain
81.03876185	4.5180759499999965	2.910495043	n/a
88.55966997	4.481729029999997	3.083563089	n/a
94.54315591	4.513774870000006	2.517390966	n/a
99.05862379	4.482542010000003	2.873832941	n/a
105.04386	4.495877000000007	1.731381893	misery
109.5414009	4.4978088999999954	2.958043098	enthusiasm
120.0410419	4.496845899999997	3.432297945	exasperation
126.038836	4.499022999999994	1.788491964	sleepiness
133.5405259	4.529156900000004	2.828982115	trance
138.0712368	4.464209100000005	2.27245903	hypnosis
142.5371208	4.505984100000006	3.033372879	n/a
148.5459619	4.498585899999995	1.524075985	bitterness
154.5472188	4.500540000000001	2.612138033	irritation
160.5497379	4.4994641000000115	2.153024912	tiredness
166.5517778	4.482098100000002	2.257786036	agitation
172.5367539	4.530158	3.514258862	n/a
178.5696929	4.469985899999983	1.802595139	concern
186.0413919	4.500822999999997	2.137601852	hypnosis
190.5437689	4.500797000000006	3.855665922	n/a
195.0451999	4.5017818999999974	1.614537954	misery
204.0493128	4.485618100000011	2.026577234	n/a
213.037807	4.50151390000002	2.03071785	n/a
219.0421808	4.4857552	1.528600931	indifference
223.529604	4.514104799999984	2.324116945	n/a
228.045399	4.498637900000006	1.280940056	n/a
232.5457029	4.497257999999988	2.056019068	enjoyment
241.5458229	4.4964338999999995	1.871088028	bitterness
249.0451448	4.493095199999999	1.459203959	fury
253.5398839	4.498718899999972	1.118365049	woe
259.5414639	4.498079000000018	1.357254028	concern
265.541487	4.49814699999996	3.668328047	annoyance
271.5424809	4.497027000000003	2.200774908	surprise
279.0420659	4.5071598999999765	1.186678886	n/a
286.5519738	4.484789200000023	1.837803841	appreciation
291.0384338	4.497687100000007	2.854032993	anxiety
298.5365298	4.499910100000022	2.99334693	annoyance
303.0381069	4.488548100000003	n/a	anxiety
312.0284829	4.501905900000054	2.030827999	relaxation
319.5323379	4.516341000000011	1.73603797	n/a
325.551523	4.497998000000052	2.037955046	n/a
330.0511818	4.482009199999993	2.374784231	mortification
337.5351179	4.497625099999993	3.190713882	agitation
342.0344248	4.509860000000003	2.373636007	nervousness
346.5459738	4.480985099999998	1.764827013	sleepiness
351.0286129	4.501842000000011	2.144464016	irritation
357.0323389	4.5063531000000125	0.700131893	tiredness
364.540458	4.5003489999999715	2.018158197	n/a
370.5426929	4.500526899999954	1.936206102	nervousness
376.5457139	4.498332000000005	2.532783985	wakefulness
381.0457079	4.498028999999974	1.979573011	n/a
387.0457659	4.489411099999984	1.593326092	dominance
391.53669	4.497432899999978	4.046615839	trance
396.0351288	4.502231199999983	1.561616182	exasperation
400.5390148	4.500416099999995	2.005160093	n/a
405.0410409	4.517278900000008	1.645572901	enjoyment
412.560607	4.479749900000002	3.917348862	affection
418.543252	4.4991150000000175	2.544723988	n/a
424.5437858	4.495640100000003	1.190618992	woe
432.0414779	4.491402899999969	1.943434954	feeling
436.5345628	4.498072200000024	2.311225891	humor
442.535476	4.501065899999958	3.351788044	panic
447.0381918	4.499893200000031	2.43721509	n/a
454.540931	4.511650799999984	3.935061932	mortification
462.0552118	4.49002310000003	1.846892834	n/a
466.5469279	4.487685899999974	2.089934826	feeling
472.5374758	4.512888000000032	2.192305088	n/a
478.5522158	4.4813762	1.660347939	appreciation
484.5359199	4.515573000000018	1.497331142	n/a
489.0531459	4.487077899999974	2.732293844	n/a
493.541919	4.489363900000001	2.268821001	wakefulness
499.5336518	4.510876200000041	2.51848793	n/a
504.046206	4.484633000000031	n/a	fury
508.5323598	4.500535099999979	2.106483936	relaxation
514.5357199	4.511245899999949	1.877978086	humor
519.0486448	4.498446199999989	1.98387599	n/a
525.0489528	4.488851999999952	3.248001099	indifference
532.5395348	4.503902200000084	1.393480062	dominance
