onset	duration	response_time	trial_type
4.05e-06	4.545140985	2.349425077	feeling
4.546792984	4.500161886000001	2.54245615	n/a
9.048621893	4.481971027	2.00886488	sleepiness
15.03256607	4.515187980000002	1.598191977	n/a
19.54933786	4.486840009999998	3.759123802	n/a
28.53906989	4.4896960299999975	3.193623066	agitation
34.53163695	4.501885890000004	2.22821188	misery
40.53628802	4.509716990000001	2.398742914	n/a
45.04759407	4.497037889999994	2.171355009	delight
49.54631305	4.497411960000001	2.827261925	n/a
54.04542995	4.49787998	2.94464016	contempt
60.04611588	4.495671029999997	2.25941515	interest
66.04399586	4.498766180000004	2.003160954	frenzy
73.5451169	4.496590140000009	2.740403175	n/a
81.04366684	4.497448210000002	2.635190964	n/a
85.54276705	4.5087409000000065	2.212450027	n/a
90.05316997	4.4837520100000035	2.170354128	embarrassment
94.53860688	4.518285039999995	2.477643013	self-consciousness
99.05856991	4.498784990000004	2.012200832	torpor
103.5589409	4.478446000000005	3.139539003	hypnosis
109.5402451	4.498380899999987	2.180011988	n/a
115.5414739	4.4959420999999935	2.189013958	enjoyment
126.0402958	4.511663200000015	1.943877935	enjoyment
132.0542059	4.497432000000003	1.984512806	torpor
139.5544848	4.480724099999975	2.038763046	playfulness
144.0367908	4.496417100000002	2.82505703	stupor
151.5360808	4.50744229999998	2.082435131	n/a
157.5458601	4.482162899999992	1.843778133	embarrassment
162.029567	4.498985100000027	2.244348049	stupor
166.530232	4.51708499999998	2.300063849	confusion
174.0502169	4.483122100000003	2.837176085	irritation
178.5350029	4.512163000000015	3.178982019	n/a
187.549896	4.491507100000007	3.007534027	bewilderment
195.0442729	4.500226999999995	3.977499008	self-consciousness
201.0462079	4.482645999999988	n/a	wakefulness
205.530534	4.513969000000003	2.103055	indifference
213.046365	4.496561999999983	2.146462917	n/a
219.0457699	4.508420000000001	2.715855122	wakefulness
228.0570579	4.485145100000011	2.434463024	tiredness
232.5438719	4.514533999999998	2.806691885	n/a
238.561235	4.468981899999989	2.924055815	misery
244.5329809	4.50164509999999	3.149949074	n/a
249.036268	4.5033889000000045	2.140840054	n/a
255.042501	4.49553610000001	1.595016003	frenzy
261.040921	4.497442899999953	2.775182962	relief
267.0401099	4.497474199999999	3.085503101	impatience
273.040046	4.503889099999981	2.049690008	n/a
280.5467439	4.501052099999981	3.05497098	n/a
289.550715	4.5017469000000006	2.362170935	earnestness
295.5545449	4.480928000000006	2.107714176	indifference
301.5381229	4.496945100000005	2.036545992	self-pity
306.0366149	4.498252100000002	2.831353903	n/a
310.536531	4.507184999999993	3.02110815	relief
315.0452449	4.4859650000000215	1.881851912	bewilderment
319.5328851	4.498516800000004	4.0614779	serenity
327.0331719	4.498494099999959	2.997005939	delight
331.533242	4.497991100000036	2.557370186	earnestness
336.0328989	4.505530099999987	2.150663137	contemplation
343.541245	4.505729900000006	2.221302032	n/a
348.0486341	4.493631800000003	2.113487005	n/a
355.5446091	4.502819699999975	2.827782154	feeling
363.0503581	4.49425100000002	1.933357954	sadness
367.546279	4.4974509999999555	2.074084044	n/a
375.04633	4.4968339999999785	2.689306021	n/a
381.0458798	4.497390099999961	2.17731595	n/a
387.046139	4.513182900000004	1.733492851	disgust
393.0622048	4.4790320999999835	2.598729134	n/a
399.043963	4.496659999999963	1.619347095	irritation
403.5422699	4.496900100000005	2.885004044	tiredness
408.0408258	4.499200099999996	2.115666151	sadness
412.5417249	4.5122561999999675	3.539670944	preoccupation
418.5568459	4.514632900000038	1.799458027	n/a
424.5743198	4.4632971999999995	3.804866076	playfulness
432.040473	4.505974999999978	2.272087812	n/a
436.54813	4.4894080999999915	2.380564928	interest
444.040386	4.508847899999978	1.76766181	agitation
450.0521219	4.499548200000049	1.828751087	hypnosis
454.553344	4.482167000000004	2.81061101	disgust
462.0383708	4.49628210000003	3.642218113	confusion
466.536217	4.4978088999999954	1.596874952	n/a
474.0369089	4.5083920999999805	1.640157938	impatience
483.047087	4.502671899999996	1.486684084	n/a
489.0520999	4.494183100000043	1.222556829	n/a
495.0491409	4.4879210000000285	2.521257877	serenity
501.039813	4.5033889000000045	1.400325775	sleepiness
507.04492	4.499486900000022	2.660320997	contemplation
516.0462339	4.484354000000053	1.659736872	contempt
522.0325999	4.516530999999986	2.552896976	preoccupation
528.0519791	4.483367899999962	2.308592081	self-pity
535.5378659	4.501142999999956	1.77156496	n/a
