onset	duration	response_time	trial_type
5.01e-06	4.5373539890000005	3.277410984	torpor
4.537647009	4.516984939000001	2.536854982	dominance
10.55654907	4.499353889999998	2.777641058	misery
19.5589211	4.479827880000002	2.873155117	fury
25.54168606	4.503314020000001	2.202534199	mortification
33.04794908	4.487797019999995	2.929567814	n/a
37.53747916	4.512798790000005	3.343770981	n/a
45.05334902	4.499325990000003	2.842705965	fatigue
49.55444098	4.481587169999997	2.186336994	enthusiasm
55.53900695	4.496078009999998	2.586073875	n/a
60.03660011	4.5041749499999995	2.44156599	n/a
64.54136205	4.50200796	2.496716022	affection
69.04384613	4.501071929999995	2.709080219	n/a
73.54665995	4.489522219999998	1.891247034	n/a
81.03883004	4.5091841200000005	2.388645172	exasperation
88.55093908	4.4965798899999925	2.119045973	bewilderment
97.54970503	4.49625107	2.717516899	decision
102.047663	4.499562999999995	2.257184982	contemplation
108.0500371	4.513286899999997	1.512560129	n/a
112.5650661	4.471489900000009	1.790463209	trance
118.539335	4.499578	3.026077986	surprise
124.541621	4.516333999999986	1.528388977	n/a
130.5604551	4.498816999999974	2.488867998	n/a
135.0609381	4.482632899999999	2.45698595	earnestness
142.546057	4.496404200000001	3.602984905	wakefulness
148.545382	4.49597	2.425050974	misery
154.544323	4.496836200000018	2.993510008	appreciation
159.041441	4.513745999999998	2.577769995	n/a
163.556916	4.483133100000003	2.151297092	torpor
168.0415812	4.502571799999998	3.281644106	n/a
174.047092	4.508044000000012	2.065433025	n/a
181.557024	4.481017099999974	2.099447966	feeling
187.5405591	4.51047299999999	2.231306791	bewilderment
192.0527329	4.5008421	2.300256968	contempt
196.555285	4.497054100000014	2.948134899	n/a
202.5552251	4.468794900000006	n/a	earnestness
208.526391	4.508187100000015	2.107116938	hypnosis
214.5374022	4.5145167999999956	2.486277819	warmth
222.054426	4.494928999999985	2.859148979	warmth
229.552196	4.499957099999989	2.703784943	n/a
235.5541451	4.499615900000009	3.149134159	irritation
240.055455	4.4927510999999924	3.028392076	self-consciousness
244.5499589	4.491257200000007	1.836279154	impatience
252.0439751	4.501738999999986	3.499740839	self-pity
261.047704	4.482899199999963	n/a	n/a
265.5323541	4.514703999999995	1.900054932	contempt
270.0488291	4.485707000000048	2.125435114	n/a
276.036922	4.517095100000006	1.601304054	pain
285.0566921	4.484458899999993	2.121680975	impatience
291.042964	4.517306100000042	2.845411062	n/a
295.5620151	4.498163900000009	2.210730791	n/a
301.5631301	4.461773899999969	n/a	relaxation
307.5270681	4.524540000000002	2.546017885	n/a
316.5545909	4.4811602000000335	3.889934063	fury
322.537616	4.519442099999992	2.481827021	n/a
328.5600121	4.49600700000002	2.435804129	hypnosis
336.058996	4.478750000000048	3.558051109	n/a
343.5407441	4.509927000000005	3.889619112	exasperation
351.0526371	4.501090099999999	1.751372099	playfulness
357.0566211	4.481409000000042	n/a	self-consciousness
361.539767	4.496336000000042	n/a	trance
367.5391212	4.5054647000000045	2.421691895	wakefulness
373.5466092	4.49869080000002	1.936917067	n/a
379.548012	4.501192099999969	2.097925901	fatigue
387.0521359	4.497856200000001	2.000020981	indifference
391.551733	4.485038999999972	3.008095026	self-pity
399.0404401	4.5014328999999975	2.099877119	dominance
405.0446031	4.502488900000003	3.992918968	indifference
411.0489471	4.51391289999998	1.62076807	n/a
421.5658011	4.48084879999999	3.494724035	feeling
426.0483601	4.49633689999996	2.633306026	irritation
430.5463641	4.490772899999968	2.228780031	decision
435.038681	4.501978000000008	1.981659889	relaxation
439.5422721	4.4988460000000146	3.934679985	n/a
444.0426741	4.5004189	1.982056856	surprise
451.5452671	4.4968839	2.613554955	contemplation
459.0449281	4.480402900000001	n/a	n/a
465.0265911	4.5266211	3.687949896	mortification
469.5549672	4.483194799999978	2.185539961	regret
475.5409	4.515603999999996	3.186573029	affection
480.0582421	4.482270000000028	2.687486887	pain
487.543484	4.495112199999994	2.906104803	regret
493.5412819	4.5092270999999755	2.990513802	playfulness
498.0522501	4.500269900000035	2.362552881	n/a
502.5542541	4.49960580000004	2.219244957	enthusiasm
511.556823	4.511934999999994	3.314114094	n/a
516.0705791	4.4647919999999885	3.263445139	appreciation
520.5371342	4.506616800000074	3.103894949	n/a
528.0465109	4.4844300999999405	3.176060915	n/a
534.0337	4.5163522000000285	3.291152954	n/a
